City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,pisco,-13.7,-76.2167,24.03,83,0,5.14,PE,1675646144
333,russell,32.3502,-85.1999,14.57,89,1,2.17,US,1675646125
334,gizo,-8.103,156.8419,25.96,89,100,6.58,SB,1675646257
335,wembley,-31.9333,115.8,23.36,76,100,3.6,AU,1675646399
336,arman,59.7,150.1667,-22.7,78,94,3.59,RU,1675646218
337,grand gaube,-20.0064,57.6608,26.32,79,100,1.34,MU,1675646215
338,kidal,18.4411,1.4078,22.01,12,3,2.4,ML,1675646228
339,margate,51.3813,1.3862,5.39,89,63,1.34,GB,1675646234
340,kavieng,-2.5744,150.7967,28.84,70,58,1.89,PG,1675646198
341,gull lake,50.1001,-108.4847,-0.54,78,64,5.35,CA,1675646401
342,dingle,10.9995,122.6711,26.6,81,74,4.29,PH,1675645958
343,middelburg,-25.7751,29.4648,15.74,79,60,2.55,ZA,1675646406
344,talcahuano,-36.7167,-73.1167,13.82,94,8,2.06,CL,1675646404
345,otradnoye,59.7775,30.8181,-2.97,94,100,3.18,RU,1675646193
346,san jeronimo,-11.9472,-75.2829,9.98,83,90,2.5,PE,1675646420
347,yerbogachen,61.2767,108.0108,-35.2,100,100,1.21,RU,1675646372
348,congonhas,-20.4997,-43.8578,19.65,93,100,0.89,BR,1675646423
349,cap-aux-meules,47.3821,-61.8597,-1.97,100,100,6.17,CA,1675646425
350,mapiripan,2.8892,-72.1256,25.43,67,99,1.79,CO,1675646426
351,pacific grove,36.6177,-121.9166,11.95,80,75,8.05,US,1675646100
352,pointe michel,15.25,-61.3833,24.96,78,85,7.97,DM,1675646427
353,sao filipe,14.8961,-24.4956,20.86,62,24,6.9,CV,1675646010
354,hami,42.8,93.45,-1.97,42,84,1.65,CN,1675646141
355,ngaoundere,7.3167,13.5833,19.74,17,100,2.06,CM,1675646430
356,thap than,15.4606,99.8917,27.06,72,100,0.95,TH,1675646431
357,blagoveshchenka,52.8333,79.8667,-9.75,96,100,3.44,RU,1675646431
358,nakuru,-0.2833,36.0667,12.75,65,0,0.71,KE,1675646432
